시가,고가,저가,종가,거래량,금액(백만)
47050.0,48350.0,46550.0,47850.0,26797395.0,1268119.0
49600.0,49700.0,46850.0,48300.0,39896178.0,1931406.0
49000.0,49300.0,47700.0,47800.0,42185129.0,2044314.0
48950.0,49600.0,47150.0,48650.0,52735922.0,2552010.0
43850.0,46950.0,43050.0,46950.0,49801908.0,2254620.0
42600.0,43550.0,42400.0,42500.0,41701626.0,1789672.0
44150.0,45500.0,43550.0,45400.0,49730008.0,2221272.0
46400.0,46650.0,42300.0,42950.0,56925513.0,2502939.0
47750.0,48350.0,45600.0,45600.0,40152623.0,1896703.0
46900.0,49650.0,46700.0,47300.0,51218151.0,2453542.0
50100.0,50900.0,48800.0,48900.0,33339821.0,1657129.0
47450.0,51600.0,46850.0,49950.0,59462933.0,2902883.0
51000.0,51900.0,49300.0,50800.0,48149999.0,2436966.0
54300.0,54400.0,52000.0,52100.0,45707281.0,2425786.0
53800.0,54900.0,53700.0,54600.0,32106554.0,1744478.0
54700.0,55000.0,53600.0,54200.0,30261485.0,1642721.0
56500.0,57200.0,56200.0,56500.0,18716656.0,1058858.0
57600.0,58000.0,56700.0,57800.0,21698990.0,1245379.0
54800.0,57600.0,54600.0,57400.0,24765728.0,1405495.0
56700.0,56900.0,55100.0,55400.0,30330295.0,1702259.0
54300.0,55500.0,53600.0,55000.0,30403412.0,1665342.0
55000.0,55500.0,54200.0,54200.0,30054227.0,1642135.0
56300.0,56900.0,55500.0,55900.0,23209541.0,1301501.0
56000.0,57000.0,56000.0,56500.0,25483102.0,1440950.0
56200.0,58000.0,56200.0,57900.0,23885408.0,1368868.0
57400.0,58100.0,56800.0,56800.0,25627537.0,1470408.0
58800.0,59800.0,58500.0,59200.0,13777393.0,817159.0
60700.0,61300.0,59600.0,60000.0,14591924.0,880829.0
59800.0,60400.0,59400.0,60200.0,12951496.0,775715.0
60800.0,60900.0,59700.0,59800.0,16674266.0,1004070.0
61600.0,62000.0,61200.0,61500.0,8740596.0,538521.0
60900.0,61900.0,60200.0,61800.0,13276067.0,814138.0
61200.0,61600.0,60500.0,60700.0,18449775.0,1127649.0
60300.0,60700.0,59700.0,60500.0,12904207.0,776553.0
59800.0,60700.0,59700.0,59900.0,11071231.0,665611.0
59200.0,59800.0,59100.0,59700.0,13107121.0,779717.0
61100.0,61200.0,59700.0,60400.0,16402493.0,989081.0
60100.0,61100.0,59700.0,61100.0,14727159.0,889352.0
60000.0,60200.0,58900.0,59500.0,19278165.0,1147948.0
57100.0,59000.0,56800.0,58900.0,21800192.0,1271098.0
55500.0,57400.0,55200.0,57200.0,23995260.0,1354043.0
57800.0,58400.0,56400.0,56400.0,19749457.0,1132895.0
58800.0,58800.0,56800.0,57200.0,20821939.0,1202915.0
59100.0,59700.0,58800.0,59100.0,16446102.0,975344.0
59400.0,59400.0,58300.0,58800.0,23664541.0,1394362.0
61800.0,61800.0,60700.0,60800.0,14916555.0,912319.0
60500.0,62600.0,60400.0,62300.0,15339565.0,943882.0
